"Departamento","Provincia","todaSemana","NoTodaSemana"
"Ayacucho","Sucre",2484,357
"Piura","Sullana",37130,25706
"Tacna","Tacna",76794,6252
"Madre de Dios","Tahuamanu",1556,390
"Piura","Talara",8579,24007
"Madre de Dios","Tambopata",23662,1234
"Tacna","Tarata",1359,221
"Junín","Tarma",18012,2435
"Huancavelica","Tayacaja",16945,2766
"San Martín","Tocache",9987,2200
"La Libertad","Trujillo",175831,32162
"Tumbes","Tumbes",24594,11105
"Loreto","Ucayali",3275,1869
"Cusco","Urubamba",11712,2546
"Amazonas","Utcubamba",13962,10818
"Ayacucho","Víctor Fajardo",5518,901
"Ayacucho","Vilcas Huamán",4222,1014
"La Libertad","Virú",11565,6517
"Huánuco","Yarowilca",3129,479
"Junín","Yauli",8301,1087
"Lima","Yauyos",4331,491
"Áncash","Yungay",11369,856
"Puno","Yunguyo",9346,2320
"Tumbes","Zarumilla",6140,4707
