"Code","Country.x","HDI","EXPECTATIVAVIDA","EXPECTCOLE","YEARS_SCHOOLING","GNI_GROSSNATIONALINCOME","infoalawk","d7.x","d100","%poburb18","GS_2017","PPP_2018","StringencyIndex","d7.y","Indice","Fecha (Dia 7 de cada pais)","Pais","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)","Country.y","Fecha","Valor"
"BWA","Botswana",0.7278,69.275,12.69723496,9.33,15951.3304,2,2020-04-05,2020-07-07,69.45,6.13456815481186,8279.60136473398,86.11,2020-04-05,0.3334411,2020-04-05,"Botswana","Menos del 50% del sueldo",3.97742487604327,20,"Botswana",2020-07-07,314
"CAF","Central African Republic",0.3807,52.805,7.56836,4.282,776.6759961,2,2020-03-21,2020-06-22,41.36,5.82177564501762,475.953609871945,11.11,2020-03-21,-1.720417,2020-03-21,"Central African Republic","Menos del 50% del sueldo",7.49041221227006,7,"Central African Republic",2020-06-22,2963
"CAN","Canada",0.9221,82.315,16.09144,13.31536312,43602.24929,0,2020-02-01,2020-05-04,81.41,10.5727694928646,46313.1713712961,2.78,2020-02-01,1.716108,2020-02-01,"Canada","Sin apoyo",4.07518823864492,6,"Canada",2020-05-04,61957
"CHE","Switzerland",0.9459,83.63,16.20882,13.38081241,59374.73403,1,2020-03-02,2020-06-03,73.8,12.3463220894337,82818.1081617471,19.44,2020-03-02,2.039621,2020-03-02,"Switzerland","Sin apoyo",215.465350480429,3,"Switzerland",2020-06-03,30893
"CHL","Chile",0.8469,80.042,16.53156,10.4469855,21972.27872,0,2020-02-29,2020-06-01,87.56,8.9835099875927,15924.7942393064,0,2020-02-29,1.084034,2020-02-29,"Chile","Sin apoyo",25.1894460666519,7,"Chile",2020-06-01,129020
"CHN","China",0.7576,76.704,13.88891653,7.9,16126.56804,2,2020-01-28,2020-04-30,59.15,5.15119321644306,9976.67682180773,69.91,2020-01-28,0.4771284,2020-01-28,"China","Sin apoyo",148.348833270666,4,"China",2020-04-30,83956
"CMR","Cameroon",0.5627,58.921,12.7494,6.2917,3291.127921,0,2020-03-12,2020-06-13,56.37,4.67066690325737,1534.49127445052,0,2020-03-12,-0.7996525,2020-03-12,"Cameroon","Sin apoyo",53.3439889149796,4,"Cameroon",2020-06-13,8681
"COL","Colombia",0.7609,77.109,14.59814,8.3265809,12895.59491,2,2020-03-12,2020-06-13,80.78,7.22628086805344,6718.58532391314,34.26,2020-03-12,-0.0852262,2020-03-12,"Colombia","Sin apoyo",44.7487021180712,9,"Colombia",2020-06-13,48746
"CRI","Costa Rica",0.7935,80.095,15.37714,8.6671837,14789.93488,2,2020-03-12,2020-06-13,79.34,7.32879638671875,12112.1344206452,37.04,2020-03-12,0.3781868,2020-03-12,"Costa Rica","Sin apoyo",97.9130630630631,8,"Costa Rica",2020-06-13,1662
"CUB","Cuba",0.7777,78.726,14.37023,11.7507808,7811.358181,2,2020-03-18,2020-06-19,77.04,11.7113269865513,8821.81889125004,13.89,2020-03-18,-0.2448378,2020-03-18,"Cuba","Sin apoyo",108.999596231494,3,"Cuba",2020-06-19,2305
"CYP","Cyprus",0.873,80.828,14.67400082,12.10394114,33100.31857,2,2020-03-15,2020-06-16,66.81,6.68456926941872,28689.7067225792,44.44,2020-03-15,0.9209022,2020-03-15,"Cyprus","Más del 50% del sueldo",128.708333333333,NA,"Cyprus",2020-06-16,985
"DEU","Germany",0.9388,81.18,17.09638,14.13215,46945.9499,1,2020-02-02,2020-05-05,77.31,11.2468346953392,47639.0034407122,5.56,2020-02-02,1.619633,2020-02-02,"Germany","Sin apoyo",237.30759674834,4,"Germany",2020-05-05,167007
"DJI","Djibouti",0.4954,66.582,6.484498855,4,3600.713386,2,2020-03-24,2020-06-25,77.78,3.31651791930199,3141.88921873893,100,2020-03-24,-0.8990966,2020-03-24,"Djibouti","Sin apoyo",41.3684210526316,NA,"Djibouti",2020-06-25,4635
"DMA","Dominica",0.7238,78.119,12.966179,7.8,9245.160148,2,2020-03-28,2020-06-29,70.48,5.87688907980919,7691.34509727878,30.56,2020-03-28,-0.2895034,2020-03-28,"Dominica","Sin apoyo",95.5,23,"Dominica",2020-06-29,18
"DNK","Denmark",0.9299,80.784,19.06606,12.58778516,48836.09375,2,2020-03-04,2020-06-05,87.87,10.1082794368267,61390.6930097009,20.37,2020-03-04,1.871631,2020-03-04,"Denmark","Sin apoyo",137.976565849012,6,"Denmark",2020-06-05,12075
"DOM","Dominican Republic",0.7446,73.892,14.14082,7.935346002,15074.25844,2,2020-03-07,2020-06-08,81.07,6.13639503717422,8050.63044027449,11.11,2020-03-07,-0.4002573,2020-03-07,"Dominican Republic","Sin apoyo",219.97857586421,5,"Dominican Republic",2020-06-08,20126
"ECU","Ecuador",0.7579,76.8,14.92304375,8.98551,10141.14555,1,2020-03-07,2020-06-08,63.82,8.25742930173874,6295.93539868079,8.33,2020-03-07,-0.2613976,2020-03-07,"Ecuador","Sin apoyo",68.7886817522951,5,"Ecuador",2020-06-08,43378
"EGY","Egypt",0.6997,71.825,13.1048325,7.326,10743.80596,0,2020-02-20,2020-05-23,42.7,5.28763681650162,2549.13225178609,0,2020-02-20,-0.5848041,2020-02-20,"Egypt","Sin apoyo",98.8734692852479,12,"Egypt",2020-05-23,16513
"ERI","Eritrea",0.4336,65.941,5.0052837,3.9,1707.710964,2,2020-03-27,2020-06-28,40.08,2.87002343684435,NA,73.15,2020-03-27,-1.727732,2020-03-27,"Eritrea","Sin apoyo",NA,6,"Eritrea",2020-06-28,191
"ESP","Spain",0.8928,83.433,17.87704,9.819481806,35041.29991,2,2020-02-07,2020-05-10,80.32,8.87312963604927,30337.6791331632,11.11,2020-02-07,1.002136,2020-02-07,"Spain","Sin apoyo",93.6771974435832,17,"Spain",2020-05-10,224350
"EST","Estonia",0.8815,78.567,16.06362,13.0290394,30378.62982,0,2020-03-04,2020-06-05,68.88,6.42935782670975,23258.4675814303,0,2020-03-04,1.191938,2020-03-04,"Estonia","Sin apoyo",30.4112491373361,6,"Estonia",2020-06-05,1910
"ETH","Ethiopia",0.4698,66.24,8.710185884,2.795442993,1781.756181,2,2020-03-19,2020-06-20,20.76,3.50255742669106,771.523813864476,35.19,2020-03-19,-0.6074697,2020-03-19,"Ethiopia","Sin apoyo",109.224559,18,"Ethiopia",2020-06-20,4469
"FIN","Finland",0.9252,81.736,19.31641,12.43960917,41779.26491,1,2020-02-04,2020-05-07,85.38,9.20693874359131,50021.2910567702,5.56,2020-02-04,1.984208,2020-02-04,"Finland","Sin apoyo",18.1485472672831,9,"Finland",2020-05-07,5673
"FJI","Fiji",0.7237,67.341,14.42733083,10.884,9110.441609,2,2020-03-25,2020-06-26,56.25,3.50074470043182,6266.96795881419,81.48,2020-03-25,0.2595362,2020-03-25,"Fiji","Sin apoyo",48.3570333880679,5,"Fiji",2020-06-26,18
