Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
"Iran, Islamic Rep.",IRN,Voice and Accountability: Estimate,VA.EST,-1.370054
Iraq,IRQ,Voice and Accountability: Estimate,VA.EST,-0.9454794
Ireland,IRL,Voice and Accountability: Estimate,VA.EST,1.335065
Israel,ISR,Voice and Accountability: Estimate,VA.EST,0.6869864
Italy,ITA,Voice and Accountability: Estimate,VA.EST,0.9722701
Jamaica,JAM,Voice and Accountability: Estimate,VA.EST,0.6409134
Japan,JPN,Voice and Accountability: Estimate,VA.EST,0.9595044
"Jersey, Channel Islands",JEY,Voice and Accountability: Estimate,VA.EST,1.294189
Jordan,JOR,Voice and Accountability: Estimate,VA.EST,-0.6650451
Kazakhstan,KAZ,Voice and Accountability: Estimate,VA.EST,-1.212825
Kenya,KEN,Voice and Accountability: Estimate,VA.EST,-0.2905207
Kiribati,KIR,Voice and Accountability: Estimate,VA.EST,1.122499
"Korea, Dem. People’s Rep.",PRK,Voice and Accountability: Estimate,VA.EST,-2.194688
"Korea, Rep.",KOR,Voice and Accountability: Estimate,VA.EST,0.7721228
Kosovo,XKX,Voice and Accountability: Estimate,VA.EST,-0.1295883
Kuwait,KWT,Voice and Accountability: Estimate,VA.EST,-0.6347895
Kyrgyz Republic,KGZ,Voice and Accountability: Estimate,VA.EST,-0.4573659
Lao PDR,LAO,Voice and Accountability: Estimate,VA.EST,-1.8017
Latvia,LVA,Voice and Accountability: Estimate,VA.EST,0.8849515
Lebanon,LBN,Voice and Accountability: Estimate,VA.EST,-0.4943317
Lesotho,LSO,Voice and Accountability: Estimate,VA.EST,0.0296611
Liberia,LBR,Voice and Accountability: Estimate,VA.EST,-0.0283429
Libya,LBY,Voice and Accountability: Estimate,VA.EST,-1.458335
Liechtenstein,LIE,Voice and Accountability: Estimate,VA.EST,1.259364
Lithuania,LTU,Voice and Accountability: Estimate,VA.EST,1.024853
Luxembourg,LUX,Voice and Accountability: Estimate,VA.EST,1.524442
"Macao SAR, China",MAC,Voice and Accountability: Estimate,VA.EST,-0.3028436
Madagascar,MDG,Voice and Accountability: Estimate,VA.EST,-0.2205981
Malawi,MWI,Voice and Accountability: Estimate,VA.EST,-0.0948665
Malaysia,MYS,Voice and Accountability: Estimate,VA.EST,-0.0434295
Maldives,MDV,Voice and Accountability: Estimate,VA.EST,-0.4419447
Mali,MLI,Voice and Accountability: Estimate,VA.EST,-0.4140995
Malta,MLT,Voice and Accountability: Estimate,VA.EST,1.110597
Marshall Islands,MHL,Voice and Accountability: Estimate,VA.EST,1.136616
Martinique,MTQ,Voice and Accountability: Estimate,VA.EST,..
Mauritania,MRT,Voice and Accountability: Estimate,VA.EST,-0.7802137
Mauritius,MUS,Voice and Accountability: Estimate,VA.EST,0.8081411
Mexico,MEX,Voice and Accountability: Estimate,VA.EST,0.0183283
"Micronesia, Fed. Sts.",FSM,Voice and Accountability: Estimate,VA.EST,1.094265
Moldova,MDA,Voice and Accountability: Estimate,VA.EST,-0.0899362
Monaco,MCO,Voice and Accountability: Estimate,VA.EST,0.6848723
Mongolia,MNG,Voice and Accountability: Estimate,VA.EST,0.3489689
Montenegro,MNE,Voice and Accountability: Estimate,VA.EST,0.0266633
