"Code","Country","HDI","EXPECTATIVAVIDA","EXPECTCOLE","YEARS_SCHOOLING","GNI_GROSSNATIONALINCOME","infoalawk","d7","d100","%poburb18","%pobrur18","GS_2017","PPP_2018","StringencyIndex","Indice","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)","Contagd100"
"CUB","Cuba",0.7777,78.726,14.37023,11.7507808,7811.358181,2,2020-03-26,2020-06-19,77.04,22.96,11.7113269865513,8821.81889125004,66.67,-0.2448378,"Sin apoyo",108.999596231494,3,2305
"DEU","Germany",0.9388,81.18,17.09638,14.13215,46945.9499,1,2020-02-10,2020-05-05,77.31,22.69,11.2468346953392,47639.0034407122,5.56,1.619633,"Sin apoyo",237.30759674834,4,167007
"DMA","Dominica",0.7238,78.119,12.966179,7.8,9245.160148,2,2020-04-05,2020-06-29,70.48,29.52,5.87688907980919,7691.34509727878,79.63,-0.2895034,"Sin apoyo",95.5,23,18
"DNK","Denmark",0.9299,80.784,19.06606,12.58778516,48836.09375,2,2020-03-12,2020-06-05,87.87,12.13,10.1082794368267,61390.6930097009,37.96,1.871631,"Más del 50% del sueldo",137.976565849012,6,12075
"DOM","Dominican Republic",0.7446,73.892,14.14082,7.935346002,15074.25844,2,2020-03-15,2020-06-08,81.07,18.93,6.13639503717422,8050.63044027449,11.11,-0.4002573,"Sin apoyo",219.97857586421,5,20126
"ECU","Ecuador",0.7579,76.8,14.92304375,8.98551,10141.14555,2,2020-03-15,2020-06-08,63.82,36.18,8.25742930173874,6295.93539868079,55.56,-0.2613976,"Sin apoyo",68.7886817522951,5,43378
"EGY","Egypt",0.6997,71.825,13.1048325,7.326,10743.80596,0,2020-02-28,2020-05-23,42.7,57.3,5.28763681650162,2549.13225178609,0,-0.5848041,"Sin apoyo",98.8734692852479,12,16513
"ESP","Spain",0.8928,83.433,17.87704,9.819481806,35041.29991,2,2020-02-15,2020-05-10,80.32,19.68,8.87312963604927,30337.6791331632,11.11,1.002136,"Sin apoyo",93.6771974435832,17,224350
"EST","Estonia",0.8815,78.567,16.06362,13.0290394,30378.62982,2,2020-03-12,2020-06-05,68.88,31.12,6.42935782670975,23258.4675814303,25,1.191938,"Sin apoyo",30.4112491373361,6,1910
"ETH","Ethiopia",0.4698,66.24,8.710185884,2.795442993,1781.756181,2,2020-03-27,2020-06-20,20.76,79.24,3.50255742669106,771.523813864476,60.19,-0.6074697,"Sin apoyo",109.224559,18,4469
"FIN","Finland",0.9252,81.736,19.31641,12.43960917,41779.26491,1,2020-02-12,2020-05-07,85.38,14.62,9.20693874359131,50021.2910567702,13.89,1.984208,"Sin apoyo",18.1485472672831,9,5673
"FJI","Fiji",0.7237,67.341,14.42733083,10.884,9110.441609,2,2020-04-02,2020-06-26,56.25,43.75,3.50074470043182,6266.96795881419,88.89,0.2595362,"Menos del 50% del sueldo",48.3570333880679,5,18
"FRA","France",0.8911,82.541,15.4858,11.41703591,40510.78081,2,2020-02-07,2020-05-02,80.44,19.56,11.3128922879696,41631.0907389044,13.89,1.480526,"Sin apoyo",122.299437237519,9,168518
"GBR","United Kingdom",0.9204,81.236,17.4429,12.95067,39507.28595,2,2020-02-14,2020-05-09,83.4,16.6,9.63169410824776,43043.2278164551,11.11,1.341884,"Sin apoyo",274.708981936924,4,209589
"GEO","Georgia",0.7864,73.6,15.43314,12.81457,9569.522105,2,2020-03-11,2020-06-04,58.63,41.37,7.60165899991989,4722.78778321766,45.37,0.6145709,"Sin apoyo",65.197330207495,12,801
"GHA","Ghana",0.5957,63.78,11.51923,7.184,4098.860341,2,2020-03-28,2020-06-21,56.06,43.94,3.26237045228481,2202.31216442504,52.78,-0.2102704,"Sin apoyo",130.821429199262,12,14154
"GIN","Guinea",0.4655,61.185,9.00675,2.707392597,2211.002107,2,2020-03-27,2020-06-20,36.14,63.86,4.12308685481548,983.309492239346,71.3,-0.9709232,"Sin apoyo",50.5222122741332,3,4960
"GRC","Greece",0.872,82.072,17.33672,10.53957898,24909.34008,2,2020-03-11,2020-06-04,79.06,20.94,8.04139003157616,20324.3050137875,33.33,0.3382609,"Sin apoyo",83.2651823118697,22,2952
"GTM","Guatemala",0.651,74.063,10.62148,6.467886134,7377.915813,2,2020-03-28,2020-06-21,51.05,48.95,5.81384375691414,4472.89236269013,93.52,-0.6820061,"Sin apoyo",152.547125793206,2,13145
"GUY","Guyana",0.6703,69.774,11.47262358,8.46676505,7615.416702,2,2020-03-26,2020-06-19,26.61,73.39,4.94550988078117,4979.00218839886,45.37,-0.2694839,"Sin apoyo",3.95734823469647,11,183
"HND","Honduras",0.623,75.088,10.20793667,6.5964413,4258.345021,2,2020-03-25,2020-06-18,57.1,42.9,7.85842537879944,2505.7767518956,100,-0.6206585,"Sin apoyo",85.6870319063366,6,10739
"HRV","Croatia",0.8373,78.342,14.96245,11.40518282,23060.96179,2,2020-03-10,2020-06-03,56.95,43.05,6.78913369774818,14920.1913831924,22.22,0.4569183,"Sin apoyo",73.0493745532523,12,2246
"HTI","Haiti",0.5027,63.66,9.5,5.441686,1664.892927,2,2020-04-03,2020-06-27,55.28,44.72,8.03550109267235,868.342024762787,82.41,-1.909054,"Sin apoyo",403.59854862119,41,5777
"HUN","Hungary",0.8447,76.701,15.11709,11.88941481,27144.21153,2,2020-03-18,2020-06-11,71.35,28.65,6.87998980283737,16150.7727613725,67.59,0.4873109,"Sin apoyo",107.981486799956,4,4039
"IDN","Indonesia",0.7069,71.509,12.9155945,7.976152649,11255.78107,2,2020-03-16,2020-06-09,55.33,44.67,2.98905447125435,3893.84642475571,43.52,0.1798754,"Sin apoyo",147.75219008926,5,33076
"IND","India",0.6469,69.416,12.34981,6.452132788,6828.601528,1,2020-02-13,2020-05-08,34.03,65.97,3.53495962917805,2005.86300452403,10.19,0.2830485,"Sin apoyo",454.938072575247,9,59695
"IRL","Ireland",0.9425,82.103,18.79326,12.52629458,55659.67902,2,2020-03-14,2020-06-07,63.17,36.83,7.18438327312469,78621.2279552716,42.59,1.420338,"Sin apoyo",70.6534475250399,7,25201
"IRQ","Iraq",0.6888,70.454,11.148673,7.316,15364.95568,2,2020-03-09,2020-06-02,70.47,29.53,4.16663028299809,5834.16621076139,52.78,-1.320548,"Sin apoyo",88.5305700354617,16,7387
"ISL","Iceland",0.9385,82.855,19.17451,12.53666119,47566.45467,2,2020-03-13,2020-06-06,93.81,6.19,8.32629129290581,72968.7042306678,16.67,1.465655,"Sin apoyo",3.51841396508728,3,1806
"ISR","Israel",0.9062,82.819,15.99117,12.95921504,33649.6895,2,2020-03-06,2020-05-30,92.42,7.58,7.40746408700943,41719.7254417057,33.33,1.208207,"Sin apoyo",410.480591497227,4,17012
"ITA","Italy",0.8826,83.352,16.2469,10.24509,36141.42829,2,2020-02-14,2020-05-09,70.44,29.56,8.84025916457176,34520.085162403,19.44,0.4138835,"Sin apoyo",205.418372203713,11,218268
"JAM","Jamaica",0.7257,74.368,13.1407323,9.796912678,7931.516349,2,2020-03-25,2020-06-18,55.67,44.33,5.98841682076454,5354.2368587703,75,0.4967112,"Sin apoyo",270.993074792244,12,638
"JOR","Jordan",0.7234,74.405,11.8767423,10.452,8267.805545,2,2020-03-17,2020-06-10,90.98,9.02,8.11925083398819,4241.78878213854,33.33,0.112718,"Sin apoyo",112.14249831043,18,863
"JPN","Japan",0.9147,84.47,15.23057,12.8,40799.0143,2,2020-02-05,2020-04-30,91.62,8.38,10.9359331429005,39159.4235633952,19.44,1.675817,"Sin apoyo",347.073458415624,3,14284
"KAZ","Kazakhstan",0.8172,73.236,15.26522,11.784,22167.69698,2,2020-03-27,2020-06-20,57.43,42.57,3.12536172568798,9812.60140498928,80.09,0.0217204,"Menos del 50% del sueldo",6.76982572137645,5,17225
"KEN","Kenya",0.5786,66.342,11.06424,6.564,3051.689885,2,2020-03-27,2020-06-20,27.03,72.97,4.80254329741001,1707.98680529003,87.04,-0.4108523,"Menos del 50% del sueldo",90.2994166637383,40,4478
"KHM","Cambodia",0.5815,69.57,11.33676945,4.844,3597.396365,0,2020-02-10,2020-05-05,23.39,76.61,5.91884180903435,1512.12670972847,0,-0.568605,"Sin apoyo",92.0564128710628,0,122
"KWT","Kuwait",0.8084,75.398,13.7588,7.275667996,71164.21501,2,2020-03-09,2020-06-02,100,0,5.2913848310709,33994.3819171507,36.11,-0.0878059,"Sin apoyo",232.172390572391,1,28649
"LBN","Lebanon",0.7301,78.875,11.28587,8.7,11136.2495,2,2020-03-06,2020-05-30,88.59,11.41,8.19554403424263,8024.80327081387,37.96,-0.6402023,"Sin apoyo",669.494134897361,10,1191
"LBR","Liberia",0.4647,63.73,9.57967,4.668,1040.085099,2,2020-03-30,2020-06-23,51.15,48.85,8.15533772110939,677.322178545364,79.63,-1.340831,"Sin apoyo",50.0309073920266,3,652
"LKA","Sri Lanka",0.7801,76.812,13.96532,11.05175,11610.90818,1,2020-02-10,2020-05-05,18.48,81.52,3.81142050027847,4080.56712469552,8.33,-0.2353793,"Sin apoyo",345.558922022006,4,771
"LSO","Lesotho",0.518,53.705,10.73776,6.348,3243.839094,2,2020-05-27,2020-08-20,28.15,71.85,8.76315832138062,1221.88376312516,62.04,-0.8609057,"Sin apoyo",69.437812911726,28,996
"LTU","Lithuania",0.8693,75.737,16.49953,12.96103366,29775.26288,2,2020-03-13,2020-06-06,67.68,32.32,6.45756423473358,19080.6173717553,47.22,1.072398,"Sin apoyo",44.7230757742448,7,1705
"LUX","Luxembourg",0.9087,82.102,14.22752,12.19580174,65543.05171,2,2020-03-14,2020-06-07,90.98,9.02,5.4810743778944,116654.26106674,42.59,1.778221,"Sin apoyo",250.185185185185,6,4039
"LVA","Latvia",0.8539,75.172,15.98269,12.82536903,26300.76872,2,2020-03-16,2020-06-09,68.14,31.86,5.95566183328629,17805.2803143817,50.93,1.043452,"Más del 50% del sueldo",30.9934705693149,9,1089
"MAR","Morocco",0.6764,76.453,13.0675557,5.514,7479.592067,2,2020-03-16,2020-06-09,62.45,37.55,5.24520017206669,3222.20063433213,55.56,-0.2092959,"Sin apoyo",80.7285189334528,10,8437
