"Country","HDI","EXPECTATIVAVIDA","EXPECTCOLE","YEARS_SCHOOLING","GNI_GROSSNATIONALINCOME","infoalawk","%poburb18","GS_2017","PPP_2018","StringencyIndex","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)","Contagd100","Regulatory_quality","control_co","Ruleoflaw","Voice_acco","Political_sta","GEE"
"Cameroon",0.5627,58.921,12.7494,6.2917,3291.127921,0,56.37,4.67066690325737,1534.49127445052,0,"Sin apoyo",53.3439889149796,4,8681,-0.8270048,-1.208662,-1.118909,-1.19461,-1.555283,-0.7996525
"Colombia",0.7609,77.109,14.59814,8.3265809,12895.59491,2,80.78,7.22628086805344,6718.58532391314,34.26,"Sin apoyo",44.7487021180712,9,48746,0.3966121,-0.2291671,-0.4169289,0.2294835,-0.900254,-0.0852262
"Costa Rica",0.7935,80.095,15.37714,8.6671837,14789.93488,2,79.34,7.32879638671875,12112.1344206452,37.04,"Sin apoyo",97.9130630630631,8,1662,0.4980351,0.722371,0.5440922,1.125299,0.4602174,0.3781868
"Cuba",0.7777,78.726,14.37023,11.7507808,7811.358181,2,77.04,11.7113269865513,8821.81889125004,13.89,"Sin apoyo",108.999596231494,3,2305,-1.486731,0.0432405,-0.3224891,-1.424033,0.613414,-0.2448378
"Germany",0.9388,81.18,17.09638,14.13215,46945.9499,1,77.31,11.2468346953392,47639.0034407122,5.56,"Sin apoyo",237.30759674834,4,167007,1.72305,1.895473,1.618773,1.335724,0.5828653,1.619633
"Dominica",0.7238,78.119,12.966179,7.8,9245.160148,2,70.48,5.87688907980919,7691.34509727878,30.56,"Sin apoyo",95.5,23,18,0.1019005,0.5262952,0.6863382,0.8967021,1.073779,-0.2895034
"Denmark",0.9299,80.784,19.06606,12.58778516,48836.09375,2,87.87,10.1082794368267,61390.6930097009,20.37,"Sin apoyo",137.976565849012,6,12075,1.565012,2.107368,1.898457,1.578779,1.008821,1.871631
"Dominican Republic",0.7446,73.892,14.14082,7.935346002,15074.25844,2,81.07,6.13639503717422,8050.63044027449,11.11,"Sin apoyo",219.97857586421,5,20126,-0.0535924,-0.763217,-0.3476975,0.201905,0.0189059,-0.4002573
"Algeria",0.759,76.693,14.7193787,7.986547848,13639.43491,0,72.63,6.37432187795639,4114.71506136896,0,"Sin apoyo",17.7300750711665,12,9733,-1.303379,-0.6218498,-0.8154638,-1.037679,-1.003575,-0.4439246
"Ecuador",0.7579,76.8,14.92304375,8.98551,10141.14555,1,63.82,8.25742930173874,6295.93539868079,8.33,"Sin apoyo",68.7886817522951,5,43378,-0.8236187,-0.4964109,-0.5773571,0.0609436,-0.1890175,-0.2613976
"Egypt",0.6997,71.825,13.1048325,7.326,10743.80596,0,42.7,5.28763681650162,2549.13225178609,0,"Sin apoyo",98.8734692852479,12,16513,-0.827766,-0.670213,-0.420846,-1.428673,-1.066421,-0.5848041
"Spain",0.8928,83.433,17.87704,9.819481806,35041.29991,2,80.32,8.87312963604927,30337.6791331632,11.11,"Sin apoyo",93.6771974435832,17,224350,1.05019,0.6467961,0.9790522,1.085453,0.3228728,1.002136
"Estonia",0.8815,78.567,16.06362,13.0290394,30378.62982,0,68.88,6.42935782670975,23258.4675814303,0,"Sin apoyo",30.4112491373361,6,1910,1.591124,1.542329,1.281257,1.210472,0.6388937,1.191938
"Ethiopia",0.4698,66.24,8.710185884,2.795442993,1781.756181,2,20.76,3.50255742669106,771.523813864476,35.19,"Sin apoyo",109.224559,18,4469,-0.8889709,-0.4064651,-0.4734782,-1.046125,-1.279597,-0.6074697
"Finland",0.9252,81.736,19.31641,12.43960917,41779.26491,1,85.38,9.20693874359131,50021.2910567702,5.56,"Sin apoyo",18.1485472672831,9,5673,1.851015,2.153081,2.022146,1.588977,0.9090824,1.984208
"Fiji",0.7237,67.341,14.42733083,10.884,9110.441609,2,56.25,3.50074470043182,6266.96795881419,81.48,"Sin apoyo",48.3570333880679,5,18,-0.2174181,0.5585566,-0.0257588,0.0941574,0.8723141,0.2595362
"France",0.8911,82.541,15.4858,11.41703591,40510.78081,2,80.44,11.3128922879696,41631.0907389044,11.11,"Sin apoyo",122.299437237519,9,168518,1.440292,1.300968,1.412058,1.141659,0.313681,1.480526
"Gabon",0.7016,66.187,12.9,8.320069671,15794.07816,1,89.37,2.78074592351913,7956.62781558686,62.96,"Sin apoyo",8.22476423332169,28,4428,-0.9571223,-0.9354914,-0.732851,-1.030655,-0.1782095,-0.8122834
"United Kingdom",0.9204,81.236,17.4429,12.95067,39507.28595,2,83.4,9.63169410824776,43043.2278164551,11.11,"Sin apoyo",274.708981936924,4,209589,1.625853,1.774812,1.600911,1.263675,0.5191886,1.341884
"Ghana",0.5957,63.78,11.51923,7.184,4098.860341,2,56.06,3.26237045228481,2202.31216442504,50,"Sin apoyo",130.821429199262,12,14154,-0.1110496,-0.0790386,0.0468897,0.5842582,0.098347,-0.2102704
"Guinea",0.4655,61.185,9.00675,2.707392597,2211.002107,2,36.14,4.12308685481548,983.309492239346,13.89,"Sin apoyo",50.5222122741332,3,4960,-0.7698209,-0.9049651,-1.209028,-0.7485375,-0.8306405,-0.9709232
"Greece",0.872,82.072,17.33672,10.53957898,24909.34008,2,79.06,8.04139003157616,20324.3050137875,19.44,"Sin apoyo",83.2651823118697,22,2952,0.529879,-0.0118192,0.198838,0.9357267,0.2909985,0.3382609
"Guatemala",0.651,74.063,10.62148,6.467886134,7377.915813,2,51.05,5.81384375691414,4472.89236269013,83.33,"Sin apoyo",152.547125793206,2,13145,-0.2249926,-0.8984204,-1.052289,-0.3134542,-0.5461909,-0.6820061
"Guyana",0.6703,69.774,11.47262358,8.46676505,7615.416702,2,26.61,4.94550988078117,4979.00218839886,41.67,"Sin apoyo",3.95734823469647,11,183,-0.6206163,-0.0918997,-0.4313481,0.2800457,-0.2370798,-0.2694839
"Honduras",0.623,75.088,10.20793667,6.5964413,4258.345021,2,57.1,7.85842537879944,2505.7767518956,93.52,"Sin apoyo",85.6870319063366,6,10739,-0.4927323,-0.8084533,-1.00908,-0.5518603,-0.5306973,-0.6206585
"Croatia",0.8373,78.342,14.96245,11.40518282,23060.96179,2,56.95,6.78913369774818,14920.1913831924,13.89,"Sin apoyo",73.0493745532523,12,2246,0.5910058,0.1255409,0.3661346,0.5347807,0.7554738,0.4569183
"Haiti",0.5027,63.66,9.5,5.441686,1664.892927,2,55.28,8.03550109267235,868.342024762787,82.41,"Sin apoyo",403.59854862119,41,5777,-1.260672,-1.339183,-0.9711014,-0.7263224,-0.7778878,-1.909054
"Hungary",0.8447,76.701,15.11709,11.88941481,27144.21153,2,71.35,6.87998980283737,16150.7727613725,19.44,"Sin apoyo",107.981486799956,4,4039,0.6034867,-0.0010352,0.4931345,0.2200635,0.7325271,0.4873109
"Indonesia",0.7069,71.509,12.9155945,7.976152649,11255.78107,2,55.33,2.98905447125435,3893.84642475571,37.04,"Sin apoyo",147.75219008926,5,33076,-0.0933143,-0.4189961,-0.3425302,0.1563942,-0.4812067,0.1798754
"India",0.6469,69.416,12.34981,6.452132788,6828.601528,1,34.03,3.53495962917805,2005.86300452403,10.19,"Sin apoyo",454.938072575247,9,59695,-0.1605557,-0.233254,-0.0307584,0.2939892,-0.7027684,0.2830485
"Ireland",0.9425,82.103,18.79326,12.52629458,55659.67902,2,63.17,7.18438327312469,78621.2279552716,11.11,"Sin apoyo",70.6534475250399,7,25201,1.60191,1.458099,1.39423,1.335065,0.9733633,1.420338
"Iraq",0.6888,70.454,11.148673,7.316,15364.95568,2,70.47,4.16663028299809,5834.16621076139,52.78,"Sin apoyo",88.5305700354617,16,7387,-1.179968,-1.336654,-1.722463,-0.9454794,-2.564838,-1.320548
"Iceland",0.9385,82.855,19.17451,12.53666119,47566.45467,2,93.81,8.32629129290581,72968.7042306678,16.67,"Sin apoyo",3.51841396508728,3,1806,1.372984,1.707973,1.766924,1.333944,1.655899,1.465655
"Israel",0.9062,82.819,15.99117,12.95921504,33649.6895,2,92.42,7.40746408700943,41719.7254417057,19.44,"Sin apoyo",410.480591497227,4,17012,1.280995,0.8059544,1.04759,0.6869864,-0.7785231,1.208207
"Italy",0.8826,83.352,16.2469,10.24509,36141.42829,2,70.44,8.84025916457176,34520.085162403,19.44,"Sin apoyo",205.418372203713,11,218268,0.9549631,0.2398421,0.280191,0.9722701,0.4626993,0.4138835
"Jamaica",0.7257,74.368,13.1407323,9.796912678,7931.516349,2,55.67,5.98841682076454,5354.2368587703,59.26,"Sin apoyo",270.993074792244,12,638,0.167549,-0.0565556,-0.3125736,0.6409134,0.4143164,0.4967112
"Jordan",0.7234,74.405,11.8767423,10.452,8267.805545,2,90.98,8.11925083398819,4241.78878213854,11.11,"Sin apoyo",112.14249831043,18,863,0.0346094,0.1279795,0.1439575,-0.6650451,-0.3578623,0.112718
"Japan",0.9147,84.47,15.23057,12.8,40799.0143,0,91.62,10.9359331429005,39159.4235633952,2.78,"Sin apoyo",347.073458415624,3,14284,1.326957,1.475332,1.537965,0.9595044,1.041225,1.675817
"Kazakhstan",0.8172,73.236,15.26522,11.784,22167.69698,2,57.43,3.12536172568798,9812.60140498928,80.09,"Menos del 50% del sueldo",6.76982572137645,5,17225,0.1372265,-0.3199823,-0.4324133,-1.212825,-0.0834486,0.0217204
"Kenya",0.5786,66.342,11.06424,6.564,3051.689885,2,27.03,4.80254329741001,1707.98680529003,59.26,"Sin apoyo",90.2994166637383,40,4478,-0.2770375,-0.7772462,-0.4543177,-0.2905207,-1.123664,-0.4108523
"Cambodia",0.5815,69.57,11.33676945,4.844,3597.396365,0,23.39,5.91884180903435,1512.12670972847,0,"Sin apoyo",92.0564128710628,0,122,-0.5688344,-1.302401,-0.9356683,-1.202571,-0.0808967,-0.568605
"Kuwait",0.8084,75.398,13.7588,7.275667996,71164.21501,2,100,5.2913848310709,33994.3819171507,27.78,"Sin apoyo",232.172390572391,1,28649,0.0649239,-0.132789,0.215674,-0.6347895,0.2003809,-0.0878059
"Lebanon",0.7301,78.875,11.28587,8.7,11136.2495,1,88.59,8.19554403424263,8024.80327081387,8.33,"Sin apoyo",669.494134897361,10,1191,-0.4255922,-1.160213,-0.8582801,-0.4943317,-1.63874,-0.6402023
"Liberia",0.4647,63.73,9.57967,4.668,1040.085099,1,51.15,8.15533772110939,677.322178545364,74.07,"Sin apoyo",50.0309073920266,3,652,-0.9789448,-0.8775807,-0.9952112,-0.0283429,-0.2290139,-1.340831
"Sri Lanka",0.7801,76.812,13.96532,11.05175,11610.90818,1,18.48,3.81142050027847,4080.56712469552,8.33,"Sin apoyo",345.558922022006,4,771,-0.1843704,-0.3194701,-0.0119834,-0.0425837,-0.2281242,-0.2353793
"Lesotho",0.518,53.705,10.73776,6.348,3243.839094,2,28.15,8.76315832138062,1221.88376312516,62.04,"Sin apoyo",69.437812911726,28,996,-0.5356036,-0.0273043,-0.3805971,0.0296611,-0.3546657,-0.8609057
"Lithuania",0.8693,75.737,16.49953,12.96103366,29775.26288,2,67.68,6.45756423473358,19080.6173717553,11.11,"Sin apoyo",44.7230757742448,7,1705,1.157364,0.675986,1.022871,1.024853,0.842194,1.072398
"Luxembourg",0.9087,82.102,14.22752,12.19580174,65543.05171,2,90.98,5.4810743778944,116654.26106674,11.11,"Sin apoyo",250.185185185185,6,4039,1.699882,2.112196,1.793426,1.524442,1.362118,1.778221
"Latvia",0.8539,75.172,15.98269,12.82536903,26300.76872,1,68.14,5.95566183328629,17805.2803143817,8.33,"Sin apoyo",30.9934705693149,9,1089,1.192686,0.4849398,1.013924,0.8849515,0.4488481,1.043452
"Morocco",0.6764,76.453,13.0675557,5.514,7479.592067,1,62.45,5.24520017206669,3222.20063433213,5.56,"Sin apoyo",80.7285189334528,10,8437,-0.2115284,-0.2765363,-0.1356491,-0.6268054,-0.3693984,-0.2092959
"Madagascar",0.5207,66.681,10.41317,6.1,1403.915973,2,37.19,5.50203807651997,527.501326141803,91.67,"Sin apoyo",45.1398556204881,2,2005,-0.7300456,-1.00937,-1.008813,-0.2205981,-0.2525476,-1.153121
"Mexico",0.7674,74.992,14.29736,8.60085,17628.11729,0,80.16,5.51654137670994,9673.44367360619,2.78,"Sin apoyo",64.9146264050001,3,113619,0.1036798,-0.8210801,-0.6581036,0.0183283,-0.714571,-0.153388
"Mali",0.4272,58.893,7.60336,2.352954412,1965.385142,2,42.36,3.79398502409458,900.110164506815,72.22,"Sin apoyo",15.635015858186,8,2260,-0.573186,-0.6966435,-0.8342336,-0.4140995,-2.153436,-1.004638
"Mongolia",0.7347,69.689,14.20655,10.17198276,10783.71204,2,68.44,4.00230102241039,4134.98719823511,57.41,"Sin apoyo",2.04060866654651,8,201,-0.011242,-0.4417607,-0.266293,0.3489689,0.6434917,-0.2333477
"Mozambique",0.446,60.163,9.74711,3.540898438,1153.697636,2,35.99,4.94119822978973,498.957220208652,47.22,"Sin apoyo",37.508535313716,25,883,-0.7247643,-0.8010145,-1.020184,-0.5082347,-0.7454386,-0.8742813
"Mauritania",0.5271,64.704,8.46557,4.614,3746.083654,2,53.67,4.40315157175064,1600.87646860561,57.41,"Sin apoyo",4.27216357815077,10,2984,-0.7593397,-0.8615845,-0.5827179,-0.7802137,-0.5422166,-0.7266325
"Mauritius",0.7964,74.863,14.96984,9.43,22724.23479,0,40.79,5.71872070431709,11208.2273695738,71.3,"Menos del 50% del sueldo",623.30197044335,7,341,0.9965204,0.317112,0.7635766,0.8081411,0.8220398,0.8760849
"Malawi",0.4854,63.798,10.95276,4.63,1159.120065,2,16.94,9.64823141694069,381.258987601084,56.48,"Sin apoyo",192.440761561307,20,2069,-0.7011955,-0.7811527,-0.3311234,-0.0948665,-0.2672529,-0.7286705
"Malaysia",0.8042,75.997,13.46876,10.15999793,27226.67561,2,76.04,3.85939814150333,11373.2330025676,19.44,"Sin apoyo",95.9628214883579,3,6298,0.6731408,0.2475228,0.5909452,-0.0434295,0.1102767,1.075348
"Namibia",0.645,63.373,12.63338796,6.94,9682.661774,2,50.03,8.55095684528351,5495.42883582824,50,"Sin apoyo",2.97374558175127,34,55,-0.1089083,0.3724811,0.3099801,0.5421898,0.5339198,0.106442
"Niger",0.3766,62.024,6.47145,2.029048967,912.0418982,2,16.42,7.73996263742447,571.526992228733,52.78,"Sin apoyo",17.7176505881424,0,1062,-0.6687045,-0.5541663,-0.5329312,-0.5653689,-1.403038,-0.7660425
"Nigeria",0.5341,54.332,9.746414,6.4619,5085.540258,2,50.34,3.75553853809834,2032.72970882575,11.11,"Sin apoyo",215.064988965381,17,12233,-0.8609852,-1.094948,-0.8979821,-0.412996,-1.934674,-1.022591
"Nicaragua",0.6511,74.275,12.20689607,6.796,4789.840116,1,58.52,8.64546522498131,2020.54702818624,8.33,"Sin apoyo",53.7270483629716,6,2170,-0.6890581,-1.121844,-1.17569,-1.07709,-1.034828,-0.8024699
"Netherlands",0.9335,82.143,18.04483,12.1900128,50012.5936,0,91.49,10.1008348166943,53048.0962104394,0,"Sin apoyo",511.475927574948,5,47358,1.861079,1.999758,1.808467,1.564838,0.8572519,1.850466
"Norway",0.9537,82.271,18.06082,12.56681764,68058.61613,2,82.25,10.4463420808315,81734.4655736102,11.11,"Sin apoyo",14.5482916341657,4,8504,1.804055,2.073468,1.984915,1.686955,1.186128,1.887119
"Nepal",0.5795,70.478,12.1952,4.856,2748.200382,2,19.74,5.55329509079456,1038.65164702443,13.89,"Sin apoyo",195.939107080572,3,75,-0.7013751,-0.6740938,-0.5355341,-0.1306429,-0.4656303,-0.9023383
"New Zealand",0.9209,82.145,18.8376,12.678166,35107.50023,2,86.54,9.1700553894043,42949.9305849512,19.44,"Sin apoyo",18.3851733697923,5,1504,1.880907,2.170071,1.884739,1.569035,1.507665,1.670251
"Pakistan",0.5604,67.114,8.46498,5.158944258,5190.07941,2,36.67,2.89863366633654,1482.30566684338,28.7,"Sin apoyo",275.289318700706,6,85264,-0.6444789,-0.8467407,-0.6675787,-0.8433508,-2.246336,-0.6338443
"Panama",0.7951,78.329,12.88063,10.17,20454.87351,1,67.71,7.31949135661125,15592.573678922,48.15,"Sin apoyo",56.1860774818402,6,22597,0.361897,-0.579924,-0.119035,0.6217133,0.3068049,-0.019452
"Peru",0.7591,76.516,13.8474129,9.215395842,12322.65681,2,77.91,4.99515049159527,6941.23584763012,44.44,"Sin apoyo",24.99160625,7,220749,0.5639061,-0.4476908,-0.4872026,0.2862839,-0.1417345,-0.2454309
"Philippines",0.7119,71.095,12.72245333,9.393091398,9539.697881,2,46.91,4.44640778005123,3252.09232412664,19.44,"Sin apoyo",357.688305329175,6,10463,0.0093082,-0.5733455,-0.4773007,0.0301842,-0.8849657,0.0495094
"Poland",0.8718,78.544,16.4332,12.29398111,27625.79535,2,60.06,6.5419539809227,15460.6442805468,25,"Sin apoyo",124.023482151605,5,28201,1.014124,0.602715,0.452093,0.6982619,0.5215149,0.6626508
"Portugal",0.8502,81.857,16.29655,9.190958665,27935.3848,2,65.21,8.96957442164421,23461.5718628115,11.11,"Sin apoyo",112.2619412173,9,35306,0.969747,0.7639953,1.135677,1.238783,1.128248,1.208909
"Paraguay",0.7243,74.131,12.68985207,8.450439127,11719.95898,1,61.58,6.65456876158714,5805.67561638869,50.93,"Sin apoyo",17.5083589227284,6,1296,-0.203458,-0.8293102,-0.5564034,0.0821425,-0.0019132,-0.5172144
"Qatar",0.8484,80.1,12.17887,9.66734,110488.7358,1,99.14,2.60742865502834,68793.7844372614,13.89,"Sin apoyo",239.593195521103,9,68790,0.6793299,0.8489959,0.7343184,-1.290618,0.7046954,0.6312364
"Romania",0.8156,75.924,14.26345,10.97836,23905.77107,2,54,5.15788830816746,12408.5964891293,16.67,"Sin apoyo",84.633801286509,5,19907,0.4620536,-0.1282405,0.3640046,0.4851397,0.5255054,-0.2534418
"Rwanda",0.536,68.7,11.16659,4.417150539,1958.611877,2,17.21,6.57159835100174,782.618140904879,42.59,"Sin apoyo",498.659870287799,3,728,0.0773843,0.564346,0.0761882,-1.079368,0.1156722,0.2068089
"Saudi Arabia",0.857,74.998,16.9791,9.67145098,49338.40957,2,83.84,5.23025318980217,23338.9634581127,19.44,"Sin apoyo",15.6766543082956,6,108571,-0.0681949,0.2746393,0.1685559,-1.616917,-0.427996,0.3234982
"Senegal",0.5138,67.665,8.97107,3.068934,3255.987639,0,47.19,4.13406379520893,1465.59100640191,0,"Sin apoyo",82.3474783150678,48,4516,-0.1122398,0.0484844,-0.1907603,0.2603854,0.0573639,-0.2678156
"Singapore",0.9348,83.458,16.32817,11.49649,83792.67432,2,100,4.44038286805153,66188.7793961798,19.44,"Sin apoyo",7952.9984184018,2,17101,2.161377,2.159477,1.878559,-0.1833654,1.531602,2.231474
"Sierra Leone",0.4385,54.309,10.17593,3.6,1381.299109,1,42.06,13.4209275245667,533.991184258936,88.89,"Sin apoyo",105.987170961485,15,1584,-0.8819937,-0.4113611,-0.7663631,-0.096367,-0.0981833,-1.142948
"El Salvador",0.6667,73.096,12.03557,6.942757762,6973.458016,2,72.02,7.22756013274193,4067.65944881154,88.89,"Sin apoyo",309.881467181467,7,5517,0.0216385,-0.5525649,-0.7624596,0.1383736,-0.127452,-0.4471425
"Serbia",0.7993,75.849,14.76615,11.18071012,15217.69707,2,56.09,8.43395814299583,7246.19198607054,25,"Sin apoyo",79.8376857992225,14,12251,0.1138671,-0.4455515,-0.1190698,0.0266261,-0.0916651,0.1116198
"Suriname",0.7237,71.57,12.85875,9.125367134,11932.99266,2,66.06,6.2297698110342,6003.723065571,52.78,"Sin apoyo",3.69225,9,314,-0.6795514,-0.3932373,-0.0596512,0.3897825,0.1134033,-0.6553037
"Slovenia",0.9016,81.172,17.42218,12.27337909,32143.04239,2,54.54,8.18701758980751,26054.5421049784,25,"Sin apoyo",102.96366052404,7,1490,1.008839,0.9058987,1.118421,1.007424,0.8167541,1.125806
"Sweden",0.9366,82.654,18.83223,12.42604923,47955.44724,0,87.43,11.0187463462353,54589.0603860606,0,"Sin apoyo",24.9814981218237,7,26846,1.801675,2.118478,1.906526,1.59226,1.051791,1.830975
"Seychelles",0.8014,73.333,15.45254,9.672806259,25076.87309,2,56.69,5.0067350268364,16390.824875738,34.26,"Sin apoyo",210.352173913043,3,11,-0.1530527,0.9692127,0.1714361,0.33567,0.689437,0.502284
"Togo",0.5127,60.76,12.56833,4.949925584,1592.536702,0,41.7,6.19951225817204,678.95563806112,0,"Sin apoyo",145.046773303916,7,530,-0.6789817,-0.7497168,-0.5887967,-0.7209277,-0.805393,-1.057791
"Thailand",0.7646,76.931,14.6502963,7.731400914,16128.54767,0,49.95,3.74601632356644,7295.47561612095,0,"Sin apoyo",135.897206835131,1,2954,0.116105,-0.4073985,0.1028816,-0.8272713,-0.5375581,0.3499596
"Tajikistan",0.656,70.879,11.40786,10.67167179,3482.378737,2,27.13,7.22881481051445,826.621530538704,48.15,"Sin apoyo",65.5727141724908,2,7706,-1.011065,-1.321173,-1.227941,-1.829593,-0.5751481,-1.097704
"Tunisia",0.7392,76.505,15.10152,7.172257455,10676.96362,1,68.94,7.23245739936829,3438.78908914627,24.07,"Sin apoyo",74.4413233779609,16,1087,-0.4372052,-0.0770505,0.0622187,0.2814057,-0.8325363,-0.1052618
"Turkey",0.8065,77.437,16.439128,7.667909126,24905.38066,2,75.14,4.21630293130875,9370.1763549731,52.78,"Sin apoyo",106.960128893104,11,184031,-0.0073169,-0.2909701,-0.2829632,-0.814703,-1.342829,0.0060968
